prime,resonance,mod12,gap,nearest_target,distance
1783,0.000000,7,4,2187,404.0
1787,0.000000,11,2,2187,400.0
1789,0.000000,1,12,2187,398.0
1801,0.000000,1,10,2187,386.0
1811,0.000000,11,12,2187,376.0
1823,0.000000,11,8,2187,364.0
1831,0.000000,7,16,2187,356.0
1847,0.000000,11,14,2187,340.0
1861,0.000000,1,6,2187,326.0
1867,0.000000,7,4,2187,320.0
1871,0.000000,11,2,2187,316.0
1873,0.000000,1,4,2187,314.0
1877,0.000000,5,2,2187,310.0
1879,0.000000,7,10,2187,308.0
1889,0.000000,5,12,2187,298.0
1901,0.000000,5,6,2187,286.0
1907,0.000000,11,6,2187,280.0
1913,0.000000,5,18,2187,274.0
1931,0.000000,11,2,2187,256.0
1933,0.000000,1,16,2187,254.0
1949,0.000000,5,2,2187,238.0
1951,0.000000,7,22,2187,236.0
1973,0.000000,5,6,2187,214.0
1979,0.000000,11,8,2187,208.0
1987,0.000000,7,6,2187,200.0
1993,0.000000,1,4,2187,194.0
1997,0.000000,5,2,2187,190.0
1999,0.000000,7,4,2187,188.0
2003,0.000000,11,8,2187,184.0
2011,0.000000,7,6,2187,176.0
2017,0.000000,1,10,2187,170.0
2027,0.000000,11,2,2187,160.0
2029,0.000000,1,10,2187,158.0
2039,0.000000,11,14,2187,148.0
2053,0.000000,1,10,2187,134.0
2063,0.000000,11,6,2187,124.0
2069,0.000000,5,12,2187,118.0
2081,0.000000,5,2,2187,106.0
2083,0.000000,7,4,2187,104.0
2087,0.000000,11,2,2187,100.0
2089,0.000000,1,10,2187,98.0
2099,0.000000,11,12,2187,88.0
2111,0.000000,11,2,2187,76.0
2113,0.000000,1,16,2187,74.0
2129,0.000000,5,2,2187,58.0
2131,0.000000,7,6,2187,56.0
2137,0.000000,1,4,2187,50.0
2141,0.000000,5,2,2187,46.0
2143,0.000000,7,10,2187,44.0
2153,0.000010,5,8,2187,34.0
317,0.001159,5,14,343,26.0
2161,0.001162,1,18,2187,26.0
1049,0.001930,5,2,1024,25.0
487,0.001930,7,4,512,25.0
281,0.001931,5,2,256,25.0
601,0.003151,1,6,625,24.0
2237,0.000000,5,2,2197,40.0
2239,0.000000,7,4,2197,42.0
2243,0.000000,11,8,2197,46.0
2251,0.000000,7,16,2197,54.0
2267,0.000000,11,2,2197,70.0
2269,0.000000,1,4,2197,72.0
2273,0.000000,5,8,2197,76.0
2281,0.000000,1,6,2197,84.0
2287,0.000000,7,6,2197,90.0
2293,0.000000,1,4,2197,96.0
2297,0.000000,5,12,2197,100.0
2309,0.000000,5,2,2401,92.0
2311,0.000000,7,22,2401,90.0
2333,0.000000,5,6,2401,68.0
2339,0.000000,11,2,2401,62.0
2341,0.000000,1,6,2401,60.0
2347,0.000000,7,4,2401,54.0
2351,0.000000,11,6,2401,50.0
2357,0.000000,5,14,2401,44.0
2371,0.000123,7,6,2401,30.0
2377,0.003151,1,4,2401,24.0
1307,0.003151,11,12,1331,24.0
367,0.003151,7,6,343,24.0
193,0.003151,1,4,169,24.0
2221,0.003161,1,16,2197,24.0
647,0.007907,11,6,625,22.0
751,0.007907,7,6,729,22.0
191,0.007907,11,2,169,22.0
2423,0.007907,11,14,2401,22.0
2437,0.000002,1,4,2401,36.0
2441,0.000000,5,6,2401,40.0
2447,0.000000,11,12,2401,46.0
2459,0.000000,11,8,2401,58.0
2467,0.000000,7,6,2401,66.0
2473,0.000000,1,4,2401,72.0
2477,0.000000,5,26,2401,76.0
2503,0.000000,7,18,2401,102.0
2521,0.000000,1,10,2401,120.0
2531,0.000000,11,8,2401,130.0
2539,0.000000,7,4,2401,138.0
2543,0.000000,11,6,2401,142.0
2549,0.000000,5,2,2401,148.0
2551,0.000000,7,6,2401,150.0
2557,0.000000,1,22,2401,156.0
2579,0.000000,11,12,2401,178.0
2591,0.000000,11,2,2401,190.0
2593,0.000000,1,16,2401,192.0
2609,0.000000,5,8,2401,208.0
2617,0.000000,1,4,2401,216.0
2621,0.000000,5,12,2401,220.0
2633,0.000000,5,14,2401,232.0
2647,0.000000,7,10,2401,246.0
2657,0.000000,5,2,2401,256.0
2659,0.000000,7,4,2401,258.0
2663,0.000000,11,8,2401,262.0
2671,0.000000,7,6,2401,270.0
2677,0.000000,1,6,2401,276.0
2683,0.000000,7,4,2401,282.0
2687,0.000000,11,2,2401,286.0
2689,0.000000,1,4,2401,288.0
2693,0.000000,5,6,2401,292.0
2699,0.000000,11,8,2401,298.0
2707,0.000000,7,4,2401,306.0
